Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Equivalent Perimeter [mym],Perimeter [mym],Feret_max [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
20729.5,162.46113117477532,510.3866961925618,105353.93917312,366.2523741204135,1150.6157678965114,1315.4688991048813,399.6087053222656,25724086.89672856,0.8746810879979409,0.9165275161486989
1030.5,36.22255306918033,113.79650661640332,5237.3301004800005,81.66012363916013,256.54284451601967,312.48277102565766,105.63436569213869,285120.6823628612,0.820982365440414,0.7730450512397717
3167.5,63.50579704207033,199.50934544773256,16098.246572800002,143.16746885164335,449.7738683773683,773.2089330499649,283.72727877197264,1536496.809851613,0.5816977134539958,0.5045953616842915
2318.5,54.332364981367,170.6901586776219,11783.357436160002,122.48688361399375,384.8038937228308,444.65241903285977,133.31301143188475,962204.4872433456,0.865403801377709,0.9187916640573187
1186.0,38.85951749643713,122.08077468885092,6027.630760960001,87.60489624396786,275.2188984585455,306.0125140171051,103.18122307739256,352033.31160723325,0.8993713846720714,0.8490391335859485
22531.5,169.3753134379397,532.1082403960999,114512.27865984,381.83970661449126,1199.5848171489677,1380.272003090477,426.9487404296875,29150223.25815345,0.8690930588051163,0.8943455512486163
4267.5,73.71261599724505,231.5750128938305,21688.7978688,166.17772150418924,522.0627090678515,604.1952970445633,203.5058328125,2402796.6746680657,0.8640628479260506,0.8165747350214625
1177.0,38.71179334716084,121.61668558672672,5981.88988672,87.2718669218394,274.17265598671673,482.8170040306091,175.30378278808593,348033.79875661654,0.5678603978275277,0.4978321946842245
4986.0,79.67667393942547,250.3116535105684,25340.44432896001,179.6230937290408,564.3025916742254,746.2499840576172,266.4700731201172,3034486.004557549,0.7561843936075128,0.6740835532704333
28644.5,190.9746321875405,599.96450150239,145580.49690752,430.5332108035912,1352.5599721869878,1732.4665351102828,503.91601901855466,41784825.84265124,0.7807134768700675,0.8543749246989875
6444.5,90.58362018624425,284.576835712673,32753.00711552,204.21171334786905,641.55001843065,706.3505210481644,255.6438207275391,4459031.800236857,0.9082601333381112,0.7988134145652378
3917.0,70.62067187961067,221.86138396856015,19907.44493312,159.20724268539428,500.164304018722,546.2606340351105,179.68126302490234,2112939.611142239,0.915614768584211,0.8860536708456322
2732.5,58.98412545752316,185.30409521577343,13887.437651200002,132.97381243144022,417.7495522544397,495.3432370355606,185.80668068847652,1231110.3529226596,0.8433537010710203,0.7156567887587642
5385.0,82.80335106986222,260.1343994136957,27368.2897536,186.67187465189735,586.4469900382355,893.0400500675202,313.28234375,3405926.636213885,0.6566861027049078,0.5958582677128526
4478.5,75.51293466086737,237.230880781587,22761.167253759995,170.23635989945942,534.8132976340097,566.257291043663,170.6954480834961,2583185.506895251,0.9444704838118744,0.9973104837346798
1116.5,37.70373922698927,118.4497901683748,5674.409565440001,84.9993097133246,267.0332069555841,364.400335020256,129.6554593322754,321547.26406205754,0.7328017602967914,0.6555783316111053
18252.0,152.44398371371102,478.9168993189566,92762.49295872,343.6697168841901,1079.6702578246557,1203.5613640846252,360.2510973144531,21253106.461729985,0.8970629085005604,0.95397271360484
9160.5,107.99773539082408,339.28489210814735,46556.58649728,243.47009466507384,764.8838607686074,1013.9102110616684,368.5464472167969,7556757.681183639,0.7543901347711008,0.6606225524726139
17672.0,150.00229743093868,471.2461156306281,89814.74772992,338.16517932830817,1062.3772430776878,1210.711358083725,370.7892202148437,20248146.848276768,0.8774818506362941,0.9120145918275819
4992.5,79.72859228087688,250.4747597906587,25373.4794048,179.74013843800884,564.670298472061,620.0424610391617,188.43089158935547,3040421.8005818124,0.9106961763968556,0.9538782994760423
5342.0,82.47209011523377,259.0937124322138,27149.75002112,185.92507995578305,584.1008653071829,806.0911300495147,273.34372963867185,3365212.9623041726,0.724608972277494,0.6801878360317758
1887.5,49.02284814948658,154.009819604475,9592.877792,110.51710886820254,347.1997373163285,379.7943410211563,114.9744,706784.7461985509,0.9141782797047726,0.9612323166565996
10955.5,118.10578238319272,371.04025828151305,55679.34974847999,266.25767580466965,836.473158269843,979.2542590688704,291.29117673339846,9883369.502897069,0.8541940466669078,0.914060215590943
4338.0,74.31899585611431,233.480011403739,22047.101383680005,167.5447442580241,526.3573377085892,617.9482760414123,195.08231069335935,2462583.975306264,0.8517821929700067,0.8588412945414604
4877.5,78.80498638693973,247.5731662994535,24789.0126784,177.65796131071693,558.128946105488,752.5325390508651,225.1441134399414,2935976.970233373,0.7416675255124922,0.7890855265825473
2643.0,58.01010357459324,182.24411522392512,13432.57006848,130.777977498563,410.85113336081673,578.4630940441132,213.85314216308592,1171122.8974423653,0.7102460599318469,0.6115317089838725
14655.5,136.60147198279444,429.14618085069895,74483.93138047997,307.9543584380117,967.4671501098156,1117.0267250787736,360.7316227294922,15291767.534811066,0.8661092240578123,0.8536938239787828
8527.0,104.196514327288,327.3430039402716,43336.93718272,234.90062189943805,737.9620680829482,827.4083840576171,276.2588391845703,6786582.330291872,0.8918958065955007,0.8502917864738418
4313.5,74.10883062237,232.81975784936787,21922.584559359995,167.0709477550709,524.8688620956149,572.313267040062,172.32678869628907,2441751.3197153057,0.9171006375759485,0.9695007318306087
9359.0,109.16157244734242,342.9411940548809,47565.42689023999,246.09384892528877,773.1266278773235,1155.058582087326,398.8369888671875,7803705.986129058,0.6693397545951248,0.6170286502870923
1157.0,38.381481905452574,120.57898158805938,5880.243499519999,86.52721280765228,271.8332560921211,306.65337402610777,105.2106853088379,339200.7204291873,0.8864512153353243,0.8224184887082362
3544.5,67.17884761079029,211.04857413068697,18014.28097152,151.44799405376563,475.7879055202208,526.1312490373612,173.5888,1818817.811638416,0.9043140972727787,0.8724525663738998
1890.5,49.06179124,154.1321629,9608.12475,110.6049022,347.4755481,383.529553,112.4088143,708470.4653,0.9059941937568224,0.9839522185009795
1504.5,43.76744104,137.4994712,7646.349477,98.66931908,309.9788079,336.573947,110.8157,502973.3976,0.920982776004843,0.8903911544703348
