# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Histogram_Bin,Histogram_Bin_Lower,Histogram_Bin_Upper,KMeans_Input_Volume,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,KMeans_Input_Number,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
2761.0,59.29093002,186.2679502,14032.28375,133.6654726,419.9224669,1250421.227,0.941587162993443,0.9637936283485646,0.0007072121402743787,3,129.64563133802454,142.61899310403274,0.0007072121402743787,0,0,0,4,0,0,71,0,0,0,2,4,5
2779.5,59.48923696,186.8909498,14126.30666,134.1125358,421.3269573,1263009.872,0.9370851532811596,0.9152190301771173,0.000714332015066463,3,129.64563133802454,142.61899310403274,0.000714332015066463,0,0,0,4,0,0,72,0,0,0,2,4,5
2779.5,59.48923696,186.8909498,14126.30666,134.1125358,421.3269573,1263009.872,0.9429024444165044,0.9782615722122248,0.000714332015066463,3,129.64563133802454,142.61899310403274,0.000714332015066463,0,0,0,4,0,0,73,0,0,0,2,4,5
2794.0,59.64420582076724,187.37779883572,14200.00029184,134.46189760233767,422.424509695247,1272905.9901297034,0.9215085850011524,0.8895497642609173,0.0007199290528740398,3,129.64563133802454,142.61899310403274,0.0007199290528740398,0,0,0,4,0,0,74,0,0,0,2,4,5
2820.5,59.92638931,188.2643044,14334.68175,135.0980521,424.4230479,1291058.388,0.8780609156323169,0.8284089927633355,0.0007301956701321013,3,129.64563133802454,142.61899310403274,0.0007301956701321013,0,0,0,4,0,0,75,0,0,0,2,4,5
2829.5,60.02192343,188.5644337,14380.42263,135.3134242,425.0996593,1297242.818,0.9402304394800204,0.893513925852803,0.0007336934546244282,3,129.64563133802454,142.61899310403274,0.0007336934546244282,0,0,0,4,0,0,76,0,0,0,2,4,5
2833.0,60.05903454,188.6810217,14398.21075,135.3970875,425.3624953,1299650.533,0.9139273361160763,0.8485482647651292,0.0007350552079612666,3,129.64563133802454,142.61899310403274,0.0007350552079612666,0,0,0,4,0,0,77,0,0,0,2,4,5
2838.0,60.11201068,188.8474511,14423.62234,135.5165169,425.7376939,1303092.707,0.93095801345007,0.8971941891804359,0.0007370020297115476,3,129.64563133802454,142.61899310403274,0.0007370020297115476,0,0,0,4,0,0,78,0,0,0,2,4,5
2849.0,60.22839416,189.2130806,14479.52786,135.7788918,426.561969,1310676.164,0.9384528410827356,0.9258241289912096,0.0007412910746668353,3,129.64563133802454,142.61899310403274,0.0007412910746668353,0,0,0,4,0,0,79,0,0,0,2,4,5
2850.5,60.24424721,189.2628845,14487.15134,135.8146309,426.6742467,1311711.408,0.9274591077181362,0.954568806813018,0.0007418765870598891,3,129.64563133802454,142.61899310403274,0.0007418765870598891,0,0,0,4,0,0,80,0,0,0,2,4,5
2867.0,60.41835627,189.8098642,14571.00961,136.2071424,427.9073579,1323117.053,0.9404751284110632,0.9567527337666604,0.000748327381750101,3,129.64563133802454,142.61899310403274,0.000748327381750101,0,0,0,4,0,0,81,0,0,0,2,4,0
