# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
16314.0,144.12366194629334,452.777837578934,82912.95803903998,324.9123834917237,1020.7423570379488,17959631.212542504,0.9353500236526332,0.97485138839704,0.007555535479594582,0,0,0,0,0,6,0,0,0,2,2,4
16346.5,144.2671487831285,453.2286147714221,83078.13341823999,325.2358602166849,1021.758589140694,18013325.45831853,0.9052641961557744,0.881706467007913,0.007578124405514594,0,0,0,0,0,6,1,0,0,2,2,4
16357.5,144.3156812442966,453.3810839948885,83134.03893119998,325.34527179714223,1022.1023157580764,18031510.99444364,0.9322771077667495,0.9876734938012388,0.007585774978167374,0,0,0,0,0,6,1,0,0,2,2,4
16369.5,144.3686071399951,453.5473555999996,83195.02676351999,325.46458793640494,1022.4771584646388,18051356.73596481,0.9332775316029148,0.9574457508312932,0.007594123991708217,0,0,0,0,0,6,1,0,0,2,2,4
16477.0,144.84187232496436,455.0341620282988,83741.37609472,326.53151696939966,1025.8290148765968,18229465.71287596,0.9445833823445224,1.0041045880405255,0.007669053631318337,0,0,0,0,0,6,1,0,0,2,2,4
16483.0,144.86824157098644,455.1170034578825,83771.87001088,326.59096379763184,1026.0157725954502,18239423.843988817,0.9236088844530423,0.9908152726946916,0.007673242971959203,0,0,0,0,0,6,1,0,0,2,2,4
16489.5,144.89680283881512,455.2067313270703,83804.90508671997,326.6553523198248,1026.218055103747,18250213.86482132,0.933781591291334,0.9446038336650724,0.007677782284835995,0,0,0,0,0,6,1,0,0,2,2,4
16911.5,146.73919231339903,460.9947685654743,85949.64385664,330.8088351513268,1039.2666062540052,18955267.71059098,0.9357280040371888,0.9649044268744176,0.007974395243292349,0,0,0,0,0,6,1,0,0,2,2,4
16975.0,147.01442538703265,461.85943876762656,86272.371136,331.4293205925264,1041.2159187577372,19062128.90100717,0.8984313491165138,0.9009102089387476,0.00801935126193361,0,0,0,0,0,6,1,0,0,2,2,4
16982.0,147.0447345153594,461.9546577025146,86307.94737152,331.4976494914263,1041.430580324549,19073921.12405907,0.9295601902530763,0.934624250416902,0.008024312196743322,0,0,0,0,0,6,1,0,0,2,2,4
17160.0,147.81336403605525,464.3693785580649,87212.6002176,333.23044788288297,1046.8743270213015,19374595.887694445,0.9212340973941407,0.96751671443779,0.008150804707507087,0,0,0,0,0,6,1,0,0,2,2,4
17207.0,148.0156506801154,465.0048807929636,87451.46922751998,333.6864828932521,1048.307003259657,19454248.79358574,0.9402425398611782,0.9967892925892284,0.008184314324124059,0,0,0,0,0,6,1,0,0,2,2,4
17485.0,149.2065462360627,468.7461895227204,88864.35400959998,336.37123783457974,1056.7414096600207,19927608.50505296,0.9268704258096876,0.9870975154614154,0.008383454610039481,0,0,3,0,0,6,1,0,0,1,2,1
17591.5,149.66026009334814,470.1715736436002,89405.62102144,337.3940903544441,1059.9547956221325,20109952.11806861,0.9113375066358296,0.8694079770700046,0.008460165741872468,0,0,3,0,0,6,1,0,0,1,2,1
17727.5,150.2376584924452,471.9855242123981,90096.8164544,338.6957773053685,1064.0441657844303,20343607.521174747,0.9285281466536094,0.922468093397262,0.008558463511312996,0,0,3,0,0,0,1,0,0,1,2,1
17762.5,150.38589499470464,472.45122291889015,90274.69763200002,339.02996167606216,1065.094036948346,20403884.852330044,0.9188117817892948,0.8788337621860396,0.008583821911425413,0,0,3,0,0,0,1,0,0,1,2,1
17776.0,150.4430328968818,472.6307269326114,90343.30894336,339.1587733627303,1065.498710796879,20427150.561840106,0.9448546164308268,0.9982221922915056,0.008593609690003988,0,0,3,0,0,0,1,0,0,1,2,1
17905.5,150.99003499653696,474.3491847103863,91001.46930048,340.39193489619294,1069.3728020110948,20650777.4757246,0.9338085117942804,0.9804362180848945,0.008687688519466063,0,0,3,0,0,0,1,0,0,1,2,1
18043.0,151.5686679550115,476.16701376185495,91700.28821247998,341.696405037778,1073.4709158247258,20889105.88208836,0.9356760323259072,0.9563633851101372,0.00878795220020462,0,0,3,0,0,0,1,0,0,1,2,1
18062.0,151.6484508889112,476.41765924087593,91796.85228032,341.8762676839614,1074.0359709926306,20922110.16182116,0.9294894493389738,0.9197638515655464,0.008801836951152374,0,0,3,0,0,0,1,0,0,1,2,1
18101.5,151.8141812184341,476.9383164265821,91997.60389504,342.2498901388378,1075.2097405520867,20990779.88407584,0.9367450214891336,0.961898217986752,0.008830725992176044,0,0,3,0,0,0,1,0,0,1,2,1
18151.0,152.0216135175783,477.58998421369074,92249.17870336,342.71752551402847,1076.6788604113442,21076940.1706113,0.9300156073719124,0.9782600036122296,0.008866973234346367,0,0,3,0,0,0,1,0,0,1,2,1
18230.5,152.35417132554784,478.6347453801018,92653.22309248,343.46724383631505,1079.0341699849016,21215564.77875021,0.9346239527947516,0.960493736582708,0.008925291978909839,0,0,3,0,0,0,1,1,0,1,5,1
18314.5,152.7047662715612,479.7361718868831,93080.13791871998,344.25762508260755,1081.517225901789,21362364.814840067,0.9318864953245608,0.9282289481469882,0.008987050088971035,0,0,3,0,0,0,1,1,0,1,5,1
18382.5,152.98799276771405,480.6259541664989,93425.7356352,344.8961308955345,1083.523151072955,21481449.831099696,0.9216444780292574,0.9124263885825004,0.009037148615760904,0,0,3,0,0,0,1,1,0,1,5,1
18696.5,154.28908953046866,484.7134701979782,95021.58391424,347.82932343748854,1092.738047214322,22034195.496565767,0.9264346324881224,0.9081150597690382,0.00926968621284165,0,0,3,0,0,0,1,1,0,1,5,1
18832.5,154.849229013983,486.47320028437247,95712.7793472,349.0921018891233,1096.7051827210892,22275050.21330928,0.9273220322831646,0.9575741157225048,0.009371012700910761,0,0,3,0,0,0,1,1,0,1,5,1
19035.0,155.679525738081,489.0816543730984,96741.9490176,350.9639228239298,1102.585681618713,22635289.28589968,0.9335897296254384,0.9749376580782207,0.009522563646577852,0,0,3,0,0,0,1,1,0,1,5,1
19173.5,156.24486683081668,490.8577257968092,97445.85024895996,352.2384277833931,1106.5896570363266,22882782.05713975,0.9064581180633944,0.8679628778241423,0.009626682734097957,0,0,3,0,3,0,1,1,0,1,5,1
19258.0,156.5887836101608,491.9381722242429,97875.30623487996,353.01375377074646,1109.0254154623333,23034219.503624216,0.9090004275975552,0.948899376364374,0.00969039178170098,0,0,3,0,3,0,1,1,0,1,5,1
19355.0,156.9826467745689,493.1755298480672,98368.29121280002,353.9016788885882,1111.8149144894826,23208468.93974099,0.9412985885116404,0.9873122438652134,0.009763697729985718,0,0,3,0,3,0,1,1,0,1,5,1
19426.5,157.27233709650798,494.085618835287,98731.67704704,354.5547567503676,1113.866619102271,23337190.49264608,0.9159427509729168,0.8978845470432224,0.009817850304081098,0,0,3,0,3,0,1,1,0,1,5,6
19451.0,157.37147894279843,494.3970821312564,98856.19387136,354.7782621286448,1114.5687819567042,23381352.441555653,0.9129651094294284,1.00055057644527,0.009836429035898337,0,0,3,0,3,0,1,1,0,1,5,6
19483.5,157.50289733794597,494.8099451959984,99021.36925056002,355.0745317586654,1115.4995404498588,23439977.54716301,0.9313432145963794,0.9562295608282838,0.009861092352208643,0,0,3,0,3,0,1,1,0,1,5,6
19587.5,157.92270128926998,496.12879820542594,99549.93046399996,356.0209377865302,1118.4727626743122,23627906.40025143,0.9217323153504924,0.8998117500485218,0.009940153169234632,0,0,3,0,3,0,1,1,2,1,5,6
19669.5,158.2529153765209,497.1661963560453,99966.68065152,356.7653724248287,1120.8114730650684,23776433.368475627,0.9182490426299486,0.9486978043856584,0.010002637791820358,0,0,3,0,3,0,1,1,2,1,5,6
19975.5,159.47914135038866,501.0184988671893,101521.87037568,359.52977626031617,1129.496103846191,24333423.56113137,0.9380352542117428,0.967972411939002,0.01023696104225869,0,0,3,3,3,0,1,1,2,1,5,6
20020.5,159.65867438185225,501.582518519912,101750.57474687995,359.9345155264477,1130.7676297512894,24415695.88403723,0.9186953195263536,0.8949156087780963,0.010271572635745631,0,0,3,3,3,0,1,1,2,1,5,6
20066.5,159.84198861509495,502.1584171683657,101984.36143744,360.34777913387006,1132.0659356643637,24499892.10024494,0.9189333489283792,0.947830575686788,0.01030699360242788,0,0,3,3,3,0,1,1,2,1,5,6
20220.5,160.45416857881057,504.0816372450495,102767.03861888,361.7278776440705,1136.4016430052395,24782468.51424913,0.9411013264808734,1.005154026746463,0.010425872219501834,0,0,3,3,3,0,1,1,2,1,5,6
